"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"http://kzeso.com/wp-content/uploads/2017/01/kaes-401.pdf","application/pdf","200","OK","Indexable","","КАЭС-401","8","91","","0","0","","0","","0","","0","","","","","","","","","","164604","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,095","Mon, 25 Sep 2017 08:53:01 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/kaes-401.pdf","2023-04-27 12:54:43"
"http://kzeso.com/wp-content/uploads/2017/02/ka002.pdf","application/pdf","200","OK","Indexable","","КА 002","6","64","","0","0","","0","","0","","0","","","","","","","","","","211596","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,047","Mon, 25 Sep 2017 08:53:10 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ka002.pdf","2023-04-27 12:54:43"
"http://kzeso.com/wp-content/uploads/2017/01/vdu-506k.pdf","application/pdf","200","OK","Indexable","","ВДУ-506К","8","92","","0","0","","0","","0","","0","","","","","","","","","","117026","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,081","Mon, 25 Sep 2017 08:53:04 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/vdu-506k.pdf","2023-04-27 12:54:43"
"http://kzeso.com/wp-content/uploads/2017/01/kig-401.pdf","application/pdf","200","OK","Indexable","","КИГ-401","7","77","","0","0","","0","","0","","0","","","","","","","","","","161152","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,048","Mon, 25 Sep 2017 08:53:02 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/kig-401.pdf","2023-04-27 12:54:43"
"http://kzeso.com/wp-content/uploads/2017/02/ksh001-02.pdf","application/pdf","200","OK","Indexable","","КШ 001-02","9","98","","0","0","","0","","0","","0","","","","","","","","","","139265","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,091","Mon, 25 Sep 2017 08:53:15 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ksh001-02.pdf","2023-04-27 12:54:45"
"http://kzeso.com/wp-content/uploads/2017/02/pdg603.pdf","application/pdf","200","OK","Indexable","","ПДГ 603","7","78","","0","0","","0","","0","","0","","","","","","","","","","198101","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:27 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/pdg603.pdf","2023-04-27 12:54:46"
"http://kzeso.com/wp-content/uploads/2017/02/a-1416.pdf","application/pdf","200","OK","Indexable","","А-1416","6","63","","0","0","","0","","0","","0","","","","","","","","","","160333","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,105","Mon, 25 Sep 2017 08:53:07 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/a-1416.pdf","2023-04-27 12:54:46"
"http://kzeso.com/wp-content/uploads/2017/02/a535.pdf","application/pdf","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","","","","","","","","","518807","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,049","Mon, 25 Sep 2017 08:53:08 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/a535.pdf","2023-04-27 12:54:46"
"http://kzeso.com/wp-content/uploads/2017/02/ka009.pdf","application/pdf","200","OK","Indexable","","КА 008","6","64","","0","0","","0","","0","","0","","","","","","","","","","399406","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:11 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ka009.pdf","2023-04-27 12:54:47"
"http://kzeso.com/wp-content/uploads/2017/02/mco-606.pdf","application/pdf","200","OK","Indexable","","мсо606","6","69","","0","0","","0","","0","","0","","","","","","","","","","159862","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,090","Mon, 25 Sep 2017 08:53:25 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/mco-606.pdf","2023-04-27 12:54:47"
